00001JOAO SILVA                    0350000
00002MARIA SANTOS                  0280000
00003PEDRO OLIVEIRA                0210000
00004ANA COSTA                     0150000
00005CARLOS SOUZA                  1200000
00006JULIA FERNANDES               0420000
00007LUCAS RODRIGUES               0980000
00008AMANDA LIMA                   0850000
00009RAFAEL MARTINS                0730000
00010LETICIA ALVES                 0560000
00011BRUNO PEREIRA                 0690000
00012CAMILA GOMES                  0310000
00013DIEGO BARBOSA                 0180000
00014FERNANDA RIOS                 0250000
00015GUSTAVO MOURA                 0090000
00016ISABELA CASTRO                0480000
00017LEONARDO NASCIMENTO           0270000
00018MANUELA DANTAS                0180000
00019NICOLAS FERREIRA              0510000
00020PATRICIA RAMOS                1450000
