00001JOAO SILVA          0050000
00002MARIA SANTOS        0100000
00003PEDRO OLIVEIRA      0100001
00004ANA COSTA           0150000
00005CARLOS LIMA         0200000
00006JULIANA FERNANDES   0200001
00007LUCAS ROCHA         0250000
00008AMANDA ALVES        0035000
00009ROBERTO MARTINS     0085000
00010FERNANDA PEREIRA    0120000
00011RAFAEL GOMES        0180000
00012PATRICIA SOUZA      0220000
00013DIOGO CASTRO        0099999
00014VANESSA NEVES       0100000
00015BRUNO CARVALHO      0199999
00016LETICIA BARROS      0200000
00017GUSTAVO TEIXEIRA    0200001
00018TATIANE NASCIMENTO  0300000
00019FABIO LOPES         0000000
00020CAMILA RAMOS        1100099
