00001JOAO SILVA          0056000
00002MARIA SANTOS        0112000
00003PEDRO OLIVEIRA      0111001
00004ANA COSTA           0166500
00005CARLOS LIMA         0222000
00006JULIANA FERNANDES   0220001
00007LUCAS ROCHA         0275000
00008AMANDA ALVES        0039200
00009ROBERTO MARTINS     0095200
00010FERNANDA PEREIRA    0133200
00011RAFAEL GOMES        0199800
00012PATRICIA SOUZA      0242000
00013DIOGO CASTRO        0111998
00014VANESSA NEVES       0112000
00015BRUNO CARVALHO      0221998
00016LETICIA BARROS      0222000
00017GUSTAVO TEIXEIRA    0220001
00018TATIANE NASCIMENTO  0330000
00019FABIO LOPES         0000000
00020CAMILA RAMOS        1210108
