00001JOAO SILVA          0150085003
00002MARIA SANTOS        0850095001
00003PEDRO OLIVEIRA      0700045005
00004ANA COSTA           0950095020
00005CARLOS SOUZA        0800075002
00006JULIA FERNANDES     0880095001
00007LUCAS RODRIGUES     0920085004
00008AMANDA LIMA         0850095000
00009RAFAEL MARTINS      0780075006
00010LETICIA ALVES       0700070001
00011BRUNO PEREIRA       0820085003
00012CAMILA GOMES        0890092002
00013DIEGO BARBOSA       0310085007
00014FERNANDA RIOS       0570075001
00015GUSTAVO MOURA       0640055004
00016ISABELA CASTRO      0130095019
00017LEONARDO NASCIMENTO 0790065002
00018MANUELA DANTAS      0940095001
00019NICOLAS FERREIRA    0000100003
00020PATRICIA RAMOS      0900092018
