00001JOAO SILVA          085007250900
00002MARIA OLIVEIRA      097508100950
00003CARLOS PEREIRA      074006800820
00004ANA SOUZA           100009900985
00005PEDRO ALMEIDA       052506100700
00006LUIZA GOMES         089509200860
00007RAFAEL MOURA        071007450680
00008FERNANDA COSTA      093009600925
00009BRUNO LIMA          065007750740
00010CARLA SANTOS        080008500810
00011RODRIGO NASCIMENTO  078506950725
00012ISABELA BARROS      094009700960
00013TIAGO FREITAS       059506250610
00014JULIA MENEZES       082007900835
00015DANIEL CARDOSO      070007150705
00016CAMILA FERREIRA     098509400975
00017GUSTAVO TEIXEIRA    063507100685
00018LETICIA MARTINS     085508700890
00019MARCOS ARAUJO       076007400780
00020PATRICIA VIEIRA     091009250900
